Data Payload (Hex),Count
1A00FFE515411790,3
1A00FFE515401790,3
1A00FF8D184B1A90,3
1A00FFE119841B90,3
490EBB510E001B0E,3
1A00FFE119861B90,3
1A00FFE119871B90,3
490E62360E001B0E,3
1A00FF351B091D90,3
000080FF907FAB00,3
1A00FF430F801090,3
1A00FF9710C71190,3
1A00FFE515441790,3
1A00FF5103C40390,3
490EE2370E001B0E,3
490E00400E001B0E,3
1A00FFF905CB0690,3
1A00FF9B0CC40D90,3
490E13360E001B0E,3
1A00FF5103C00390,3
1A00FF490B4C0C90,3
1A00FF9710C21190,3
1A00FF891C4E1E90,3
1A00FF891C4F1E90,3
1A00FFDD1DC31F90,3
1A00FF891C481E90,3
1A00FFE119821B90,3
1A00FFE119811B90,3
1A00FF430F8B1090,3
1A00FFDD1DC01F90,3
00D6000000000069,3
00D7000000000069,3
1A00FF3917CE1890,3
1A00FF891C431E90,3
1A00FFF905C80690,3
00F5000000000069,3
1A00FFF905C60690,3
000080FF907F9C00,3
1A00FF3917CD1890,3
00F8000000000069,3
00FC000000000069,3
1A00FFD7214C2490,3
1A00FF4D070C0890,3
01801A0000000000,3
1A00FF891C451E90,3
1A00FF4D07030890,3
490E443D0E001B0E,3
490E89590E001B0E,3
1A00FF3917C11890,3
1A00FF5103C80390,3
1A00FFEF0D020F90,3
1A00FF430F821090,3
1A00FFE515481790,3
1A00FF8D18481A90,3
1A00FFEF0D0C0F90,3
1A00FFF905C90690,3
000080FF907F9E00,3
1A00FF891C471E90,3
1A00FFE515491790,3
1A00FF891C441E90,3
490EE2400E001B0E,2
00E0000000000069,2
1A00FFF905C40690,2
1A00FF9B0CC90D90,2
490E76260E001B0E,2
1A00FFF905C50690,2
1A00FF9710C11190,2
490EEC210E001B0E,2
1A00FF4D07040890,2
490ECE190E001B0E,2
490EA7240E001B0E,2
00E7000000000069,2
490E3B560E001B0E,2
1A00FFF905C30690,2
1A00FFD325812890,2
00FF000000000069,2
1A00FFD325842890,2
1A00FF4D070E0890,2
1A00FFD7214B2490,2
1A00FF891C4A1E90,2
490EC43B0E001B0E,2
1A00FF891C4C1E90,2
490E1D540E001B0E,2
490EA7300E001B0E,2
1A00FFEF0D0E0F90,2
1A00FF430F891090,2
490E892B0E001B0E,2
1A00FF430F8E1090,2
1A00FFE515451790,2
490EBB5A0E001B0E,2
000080FF907FAD00,2
490E89280E001B0E,2
1A00FFF309CF0A90,2
490E4E120E001B0E,2
00DB000000000069,2
490E092D0E001B0E,2
490ED82E0E001B0E,2
490E13300E001B0E,2
1A00FF3917C01890,2
1A00FF3917CC1890,2
1A00FFF905C20690,2
1A00FFE119881B90,2
490EBB200E001B0E,2
1A00FF5103C10390,2
490E620B0E001B0E,2
1A00FF891C491E90,2
490EB13C0E001B0E,2
490E095E0E001B0E,2
490E895F0E001B0E,2
1A00FF891C461E90,2
1A00FF4D07080890,2
1A00FFFF01880190,2
490E44400E001B0E,2
490E623F0E001B0E,2
1A00FFE5154A1790,2
490E6C230E001B0E,2
1A00FFE515431790,2
490EE2490E001B0E,2
490EEC4C0E001B0E,2
490E4E4C0E001B0E,2
1A00FFDD1DC11F90,2
1A00FF2F1F482190,2
490EE20C0E001B0E,2
1A00FF2F1F462190,2
490E1D5A0E001B0E,2
1A00FFD7214D2490,2
1A00FFD7214E2490,2
0180190000000000,2
1A00FFD721402490,2
1A00FF8320C32290,2
1A00FFD325832890,2
1A00FF2B23CB2590,2
490ED8250E001B0E,2
1A00FF4D070D0890,2
00E1000000000069,2
1A00FF2B23CA2590,2
1A00FFD721482490,2
1A00FF2F1F452190,2
0180170000000000,2
490EBB1A0E001B0E,2
1A00FFF309C40A90,2
1A00FFD325822890,2
1A00FF5103CF0390,2
490E13080E001B0E,2
490E6C5D0E001B0E,2
490E6C0E0E001B0E,2
1A00FFE515421790,2
490EB10B0E001B0E,2
490E1D4E0E001B0E,2
490E4E150E001B0E,2
1A00FFA108880990,2
490E891C0E001B0E,2
1A00FFF309C20A90,2
490ECE040E001B0E,2
1A00FF5103C30390,2
0180010000000000,2
1A00FF5103C50390,2
1A00FF8D184A1A90,2
490E27260E001B0E,2
1A00FF5103CE0390,2
490E091B0E001B0E,2
1A00FF5103C20390,2
1A00FF5103CC0390,2
490E31500E001B0E,2
1A00FF5103CD0390,2
1A00FF4D07060890,1
1A00FF2B23C12590,1
31C080F10F1815,1
1A00FF7F244D2790,1
1A00FF7F244F2790,1
01801B0000000000,1
490E1D170E001B0E,1
1A00FF7F244E2790,1
490E58300E001B0E,1
00F1000000000069,1
1A00FF4D07070890,1
1A00FF7F24402790,1
490E00150E001B0E,1
490ED81C0E001B0E,1
1A00FF5103CA0390,1
1A00FF7F244C2790,1
490E6C110E001B0E,1
490E6C540E001B0E,1
490E1D510E001B0E,1
490E6C4E0E001B0E,1
1A00FFD325852890,1
1A00FFD325862890,1
1A00FFD325872890,1
1A00FFD3258E2890,1
01801C0000000000,1
1A00FFD3258F2890,1
1A00FFD325802890,1
490EE27A0E001B0E,1
490ECE590E001B0E,1
31C080F10F1814,1
00F9000000000069,1
490E58240E001B0E,1
1A00FF7F244B2790,1
490EE23A0E001B0E,1
490E44770E001B0E,1
490ED81F0E001B0E,1
490E1D200E001B0E,1
490EE2430E001B0E,1
1A00FFD721432490,1
490E4E520E001B0E,1
490E4E180E001B0E,1
490E4E430E001B0E,1
490E623C0E001B0E,1
000080FF907FA200,1
490E4E060E001B0E,1
31C080F10F1812,1
490EF63C0E001B0E,1
490E1D1D0E001B0E,1
490E763B0E001B0E,1
490EC4350E001B0E,1
490E1D0E0E001B0E,1
490E76290E001B0E,1
490E443A0E001B0E,1
490E44370E001B0E,1
490EA7330E001B0E,1
1A00FF430F8F1090,1
490E76350E001B0E,1
31C080F10F1A00,1
490E58270E001B0E,1
000080FF907FA000,1
000080FF907F9F00,1
490E585E0E001B0E,1
490EB1050E001B0E,1
1A00FF2F1F492190,1
1A00FF2F1F4A2190,1
1A00FF2F1F4B2190,1
1A00FF2F1F4C2190,1
1A00FF2F1F4D2190,1
490E9D550E001B0E,1
490EA7610E001B0E,1
490E6C600E001B0E,1
490EEC580E001B0E,1
490E004C0E001B0E,1
490E31440E001B0E,1
490E93460E001B0E,1
31C080F10F181C,1
490EF6300E001B0E,1
31C080F10F9811,1
490E09270E001B0E,1
490E3B590E001B0E,1
490EC4320E001B0E,1
490E09610E001B0E,1
490EA7640E001B0E,1
1A00FFF905CA0690,1
490E137C0E001B0E,1
1A00FF2F1F472190,1
1A00FF8320C62290,1
1A00FF8320C72290,1
1A00FF8320C82290,1
1A00FF8320C92290,1
1A00FF8320CA2290,1
490EF66A0E001B0E,1
1A00FF8320CB2290,1
1A00FF8320CD2290,1
1A00FF8320C02290,1
00DE000000000069,1
1A00FF8320C22290,1
490EA7670E001B0E,1
1A00FF8320C42290,1
490EEC550E001B0E,1
1A00FFD7214A2490,1
490E00520E001B0E,1
490E13390E001B0E,1
490E6C1D0E001B0E,1
490E3B130E001B0E,1
490E9D120E001B0E,1
490E9D0F0E001B0E,1
490E800D0E001B0E,1
490EE2060E001B0E,1
490E9D090E001B0E,1
1A00FF5103CB0390,1
490EBB1D0E001B0E,1
490E27290E001B0E,1
490E4E490E001B0E,1
1A00FF8320C52290,1
1A00FF2B23C92590,1
1A00FF2B23C82590,1
490EA7700E001B0E,1
490E6C170E001B0E,1
490E6C1A0E001B0E,1
490EB10E0E001B0E,1
490E092A0E001B0E,1
490E93370E001B0E,1
490EC4380E001B0E,1
31C080F10F961A,1
490E44340E001B0E,1
1A00FF4D07010890,1
1A00FFFF018A0190,1
1A00FFFF018B0190,1
490E6C200E001B0E,1
490E3B1F0E001B0E,1
490EEC240E001B0E,1
490E80160E001B0E,1
490E582D0E001B0E,1
490E272F0E001B0E,1
490E4E550E001B0E,1
490E9D5E0E001B0E,1
1A00FF2F1F422190,1
1A00FF2F1F432190,1
1A00FF2B23CC2590,1
1A00FF2B23CD2590,1
1A00FF2B23CE2590,1
490E93710E001B0E,1
1A00FF2B23CF2590,1
1A00FF2B23C02590,1
490E80410E001B0E,1
490E93400E001B0E,1
490EBB290E001B0E,1
490E1D0B0E001B0E,1
490E00090E001B0E,1
490E13050E001B0E,1
31C080F10F180E,1
490ECE0A0E001B0E,1
490EC42C0E001B0E,1
31C080F10F180F,1
490E133F0E001B0E,1
490EC43E0E001B0E,1
490E00490E001B0E,1
490E9D580E001B0E,1
490E6C5A0E001B0E,1
490E585B0E001B0E,1
490E895C0E001B0E,1
1A00FF891C4B1E90,1
490E3B5F0E001B0E,1
1A00FF2F1F402190,1
1A00FF2F1F412190,1
490E27630E001B0E,1
1A00FF2F1F442190,1
490E766C0E001B0E,1
1A00FFD7214F2490,1
490E936E0E001B0E,1
1A00FFD721412490,1
1A00FFD721462490,1
490E766F0E001B0E,1
1A00FFD721472490,1
1A00FFD721492490,1
490E000C0E001B0E,1
490E310A0E001B0E,1
1A00FF4D070F0890,1
490E4E0C0E001B0E,1
1A00FFFF01830190,1
490E00430E001B0E,1
490EB1420E001B0E,1
490EA7270E001B0E,1
490E3B1C0E001B0E,1
490E3B190E001B0E,1
490EEC1B0E001B0E,1
1A00FFFF01820190,1
490E9D0C0E001B0E,1
490E89250E001B0E,1
490EBB260E001B0E,1
490E80470E001B0E,1
490E1D480E001B0E,1
490E09580E001B0E,1
490E6C570E001B0E,1
490E89560E001B0E,1
31C080F10F980A,1
490E3B530E001B0E,1
490ECE530E001B0E,1
490E93310E001B0E,1
490EA72A0E001B0E,1
31C080F10F180B,1
1A00FFEF0D0D0F90,1
490E442B0E001B0E,1
490E891F0E001B0E,1
31C080F10F180C,1
490E1D110E001B0E,1
31C080F10F9A04,1
